band_number,year,Nestbox,color,date,Species,Sex,blood_num,Age,life_stage,attempt,attempt_id,weight,wing,tail,skull,bill,tarsus,gweight,gwing,gtail,gskull,gbill,gtarsus,pweight,pwing,ptail,pskull,pbill,ptarsus,occasion,ind_id,brood_size,age,blood_num_mother,site,habitat,interval,juliandate,canopy_cover,meanmaxtempI,maxmaxtempI,cumulativeover40I,meanmaxtempO,maxmaxtempO,cumulativeover40O,meanh,meanmaxh,meanminh,meanmintempI,minmintempI,meanmintempO,minmintempO,cort_s1_mother,cort_s2_mother,cort_s1,cort_s2
NA,2021,MBNG12,Blue,2021-05-07,TRES,U,NA,L,nestling,1,2021_MBNG12_1,2.7,8,0,12.5,1.6,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2631-20639,6,1,NA,MB,Grassland,2021-04-29 17:00:00 PDT--2021-05-06 17:00:00 PDT,127,82.256,36.767125,43.58,6.25,35.521375,40.147999999999996,2.6666666666666665,48.003580729166664,79.8745625,19.42,10.666187500000001,6.69,10.167,6.22,NA,NA,NA,NA
NA,2021,MBNG12,Blue,2021-05-12,TRES,U,NA,L,nestling,1,2021_MBNG12_1,12.3,20,0,23.5,3.2,9.4,1.9200000000000004,2.4,0,2.2,0.32,0.8,0.14222222222222225,0.06,NA,0.0352,0.039999999999999994,0.029629629629629627,2,2631-20639,6,5,NA,MB,Grassland,2021-05-04 17:00:00 PDT--2021-05-11 17:00:00 PDT,132,82.256,38.824187499999994,44.94049999999999,10.583333333333334,36.961375,41.082499999999996,7.916666666666666,39.939487847222225,68.9316875,15.61975,11.2475,7.837999999999999,10.607625,7.03,NA,NA,NA,NA
2631-20639,2021,MBNG12,Blue,2021-05-17,TRES,U,NA,L,nestling,1,2021_MBNG12_1,19.3,42,5,23,4.2,12.5,1.4,4.4,1,-0.1,0.2,0.6199999999999999,0.022764227642276418,0.044000000000000004,Inf,-8.51063829787234e-4,0.0125,0.013191489361702124,3,2631-20639,6,9,NA,MB,Grassland,2021-05-09 17:00:00 PDT--2021-05-16 17:00:00 PDT,137,82.256,35.5271875,44.94049999999999,7.083333333333333,34.281625,41.082499999999996,5.25,51.47506076388889,78.1523125,26.003249999999998,10.927875,7.837999999999999,9.941,7.03,NA,NA,NA,NA
NA,2021,PICG1,Yellow,2021-05-28,WEBL,U,NA,L,nestling,1,2021_PICG1_1,14.5,15,0,23.8,3.4,13.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2941-18448,3,6,NA,PG,Grassland,2021-05-20 17:00:00 PDT--2021-05-27 17:00:00 PDT,148,0,31.794874999999998,34.0145,0,36.452687499999996,39.666,1.25,44.88052517361111,75.045,21.2578125,11.8183125,7.474,10.7623125,6.52,NA,NA,NA,NA
NA,2021,PICG1,Yellow,2021-06-04,WEBL,U,NA,L,nestling,1,2021_PICG1_1,27,45,13,31,5.3,20.2,1.7857142857142858,4.285714285714286,1.8571428571428572,1.0285714285714285,0.2714285714285714,0.914285714285714,0.017593244194229415,0.04081632653061224,Inf,0.0061738981306808435,0.01140456182472989,0.009464655427388344,2,2941-18448,3,10,NA,PG,Grassland,2021-05-27 17:00:00 PDT--2021-06-03 17:00:00 PDT,155,0,37.384,42.582499999999996,5.25,42.035375,47.432500000000005,28.916666666666668,50.062404513888886,80.045375,23.99725,13.7309375,11.594,12.5233125,10.59,NA,NA,NA,NA
2941-18448,2021,PICG1,Yellow,2021-06-07,WEBL,F,NA,L,nestling,1,2021_PICG1_1,27.1,58,23,30.8,5.8,19.8,0.033333333333333805,4.333333333333333,3.3333333333333335,-0.06666666666666643,0.16666666666666666,-0.13333333333333286,4.115226337448618e-4,0.03209876543209877,0.08547008547008549,-7.168458781361981e-4,0.010482180293501049,-0.0022002200220021923,3,2941-18448,3,17,NA,PG,Grassland,2021-05-30 17:00:00 PDT--2021-06-06 17:00:00 PDT,158,0,37.117437499999994,42.582499999999996,5.25,41.4399375,47.432500000000005,25.5,47.84431423611111,77.08512499999999,23.4193125,14.0359375,12.95,12.7535,11.4955,NA,NA,NA,NA
NA,2021,PICG3,Blue,2021-07-02,TRES,U,NA,L,nestling,2,2021_PICG3_2,4.1,9,0,16.1,2,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2021_PICG3_2_Blue,3,4,NA,PG,Grassland,2021-06-24 17:00:00 PDT--2021-07-01 17:00:00 PDT,183,0,37.8366875,42.156000000000006,5.416666666666666,38.470375000000004,40.97,8.583333333333334,54.951328124999996,82.23287499999999,30.6294375,15.2584375,13.224,14.901250000000001,12.95,NA,NA,NA,NA
NA,2021,PICG3,Blue,2021-07-09,TRES,U,NA,L,nestling,2,2021_PICG3_2,15.4,40,6,23.9,3,11.7,1.6142857142857143,4.428571428571429,0.8571428571428571,1.1142857142857139,0.14285714285714285,0.7,0.05624688899950225,0.07029478458049887,Inf,0.009887184687539607,0.01020408163265306,0.014705882352941176,2,2021_PICG3_2_Blue,3,11,NA,PG,Grassland,2021-07-01 17:00:00 PDT--2021-07-08 17:00:00 PDT,190,0,38.9348125,47.413,12.583333333333332,39.661875,46.07,14.25,52.84591145833333,84.3513125,26.1049375,13.346875,11.6115,12.975624999999999,11.1815,NA,NA,NA,NA
NA,2021,PICG3,Blue,2021-07-12,WEBL,U,NA,L,nestling,2,2021_PICG3_2,13.6,51,13,23.4,3.1,11.8,-0.6000000000000002,3.6666666666666665,2.3333333333333335,-0.16666666666666666,0.03333333333333336,0.033333333333333805,-0.012987012987012991,0.030555555555555555,0.12962962962962962,-0.0023245002324500234,0.003703703703703707,9.496676163342965e-4,3,2021_PICG3_2_Blue,3,13,NA,PG,Grassland,2021-07-04 17:00:00 PDT--2021-07-11 17:00:00 PDT,193,0,41.403437499999995,50.488,21.666666666666664,41.1803125,46.67,26.916666666666664,49.20210503472222,79.9626875,23.9631875,14.1298125,11.6115,13.723625,11.1815,NA,NA,NA,NA
NA,2021,RRRG1,Blue,2021-06-17,TRES,U,NA,L,nestling,2,2021_RRRG1_2,3.3,8,0,13.8,1.7,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2631-20715,4,1,NA,RR,Grassland,2021-06-09 17:00:00 PDT--2021-06-16 17:00:00 PDT,168,NA,34.989,43.9125,11,37.807937499999994,48.72349999999999,14.5,44.614657118055554,78.23006249999999,19.39675,13.595125,7.878,12.406437500000001,6.3454999999999995,NA,NA,NA,NA
