band_number,year,Nestbox,color,date,Species,Sex,blood_num,Age,life_stage,attempt,attempt_id,weight,wing,tail,skull,bill,tarsus,gweight,gwing,gtail,gskull,gbill,gtarsus,pweight,pwing,ptail,pskull,pbill,ptarsus,occasion,ind_id,brood_size,age,blood_num_mother,site,habitat,interval,juliandate,canopy_cover,meanmaxtempI,maxmaxtempI,cumulativeover40I,meanmaxtempO,maxmaxtempO,cumulativeover40O,meanh,meanmaxh,meanminh,meanmintempI,minmintempI,meanmintempO,minmintempO,cort_s1_mother,cort_s2_mother,cort_s1,cort_s2
NA,2021,MBNG20,Single,2021-07-07,WEBL,U,NA,L,nestling,1,2021_MBNG20_1,13.8,15,0,22.5,3.4,15.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2021_MBNG20_1_Single,1,6,NA,MB,Grassland,2021-06-29 17:00:00 PDT--2021-07-06 17:00:00 PDT,188,0,34.5825625,36.315999999999995,0,36.8393125,38.44,0,57.97259982638889,85.7904375,28.862000000000002,14.5845625,12.851500000000001,13.7454375,11.698,NA,NA,NA,NA
NA,2021,MBNG20,Single,2021-07-15,WEBL,U,NA,L,nestling,1,2021_MBNG20_1,26.4,45,3,28.4,4.8,19.6,1.5749999999999997,3.75,0.375,0.7374999999999998,0.175,0.5375000000000001,0.014266304347826084,0.03125,Inf,0.004097222222222221,0.006433823529411764,0.004391339869281047,2,2021_MBNG20_1_Single,1,10,NA,MB,Grassland,2021-07-07 17:00:00 PDT--2021-07-14 17:00:00 PDT,196,0,37.3253125,45.3,17.666666666666668,39.4365625,47.23,25.666666666666664,51.52452256944444,80.332375,24.2835,14.7640625,12.78,13.811125,12.114,NA,NA,NA,NA
NA,2021,MBNG20,Single,2021-07-18,WEBL,F,NA,L,nestling,1,2021_MBNG20_1,25.5,58,24,30.9,5,20.1,-0.29999999999999954,4.333333333333333,7,0.8333333333333334,0.06666666666666672,0.16666666666666666,-0.0037878787878787823,0.03209876543209877,0.7777777777777778,0.009780907668231613,0.004629629629629634,0.0028344671201814054,3,2021_MBNG20_1_Single,1,17,NA,MB,Grassland,2021-07-10 17:00:00 PDT--2021-07-17 17:00:00 PDT,199,0,34.687125,38.74,0.08333333333333333,37.2538125,41.882,11.75,55.052417534722224,83.652125,26.538125,13.769937500000001,12.024000000000001,13.0021875,11.28,NA,NA,NA,NA
NA,2021,MBNG4,Blue,2021-05-07,TRES,U,NA,L,nestling,1,2021_MBNG4_1,13.9,22,0,21.5,3.6,11.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2631-20609,4,8,NA,MB,Grassland,2021-04-29 17:00:00 PDT--2021-05-06 17:00:00 PDT,127,0,33.9579375,38.48,0,35.5598125,40.8,3.0833333333333335,48.003580729166664,79.8745625,19.42,10.776250000000001,6.7475000000000005,10.1010625,6.2015,NA,NA,NA,NA
2631-20609,2021,MBNG4,Blue,2021-05-12,TRES,U,NA,L,nestling,1,2021_MBNG4_1,13.3,40,9,24,4.5,11.7,-0.11999999999999993,3.6,1.8,0.5,0.18,0.07999999999999971,-0.0017266187050359702,0.03272727272727273,Inf,0.004651162790697674,0.009999999999999998,0.0014159292035398178,2,2631-20609,4,11,NA,MB,Grassland,2021-05-04 17:00:00 PDT--2021-05-11 17:00:00 PDT,132,0,34.605062499999995,39.08,0,37.0583125,41.5785,10.333333333333334,39.939487847222225,68.9316875,15.61975,11.246,7.85,10.486812500000001,6.964,NA,NA,NA,NA
NA,2021,MBNG4,Green,2021-05-07,TRES,U,NA,L,nestling,1,2021_MBNG4_1,15.6,24,1,22.3,3.6,11.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2631-20611,4,8,NA,MB,Grassland,2021-04-29 17:00:00 PDT--2021-05-06 17:00:00 PDT,127,0,33.9579375,38.48,0,35.5598125,40.8,3.0833333333333335,48.003580729166664,79.8745625,19.42,10.776250000000001,6.7475000000000005,10.1010625,6.2015,NA,NA,NA,NA
2631-20611,2021,MBNG4,Green,2021-05-12,TRES,U,NA,L,nestling,1,2021_MBNG4_1,14.3,43,11,24.6,4.3,12.1,-0.2599999999999998,3.8,2,0.46000000000000013,0.13999999999999996,0.08000000000000007,-0.0033333333333333305,0.03166666666666666,0.4,0.004125560538116593,0.007777777777777775,0.0013675213675213688,2,2631-20611,4,11,NA,MB,Grassland,2021-05-04 17:00:00 PDT--2021-05-11 17:00:00 PDT,132,0,34.605062499999995,39.08,0,37.0583125,41.5785,10.333333333333334,39.939487847222225,68.9316875,15.61975,11.246,7.85,10.486812500000001,6.964,NA,NA,NA,NA
NA,2021,MBNG4,Purple,2021-05-07,TRES,U,NA,L,nestling,1,2021_MBNG4_1,15.7,25,0,21.6,3.4,11.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2631-20608,4,8,NA,MB,Grassland,2021-04-29 17:00:00 PDT--2021-05-06 17:00:00 PDT,127,0,33.9579375,38.48,0,35.5598125,40.8,3.0833333333333335,48.003580729166664,79.8745625,19.42,10.776250000000001,6.7475000000000005,10.1010625,6.2015,NA,NA,NA,NA
2631-20608,2021,MBNG4,Purple,2021-05-12,TRES,U,NA,L,nestling,1,2021_MBNG4_1,13.3,41,11,24,4.1,11.4,-0.4799999999999997,3.2,2.2,0.4799999999999997,0.13999999999999996,0,-0.006114649681528659,0.0256,Inf,0.004444444444444441,0.008235294117647056,0,2,2631-20608,4,11,NA,MB,Grassland,2021-05-04 17:00:00 PDT--2021-05-11 17:00:00 PDT,132,0,34.605062499999995,39.08,0,37.0583125,41.5785,10.333333333333334,39.939487847222225,68.9316875,15.61975,11.246,7.85,10.486812500000001,6.964,NA,NA,NA,NA
NA,2021,MBNR2,Pink,2021-05-19,WEBL,U,NA,L,nestling,1,2021_MBNR2_1,10.2,12,0,22,3,10.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2941-18440,5,4,NA,MB,Row crop,2021-05-11 17:00:00 PDT--2021-05-18 17:00:00 PDT,139,20.346000000000004,30.58325,36.8185,0,35.4309375,42.5685,2.6666666666666665,46.69532118055555,69.9734375,23.144,12.7954375,11.62,11.8215,11.268,NA,NA,NA,NA
