Timestamp,Date,Start Time,End Time,Observer(s),Site,Nestbox,Species,Adult(s),Nest,Eggs,Nestlings,Notes,Activities,Wing chords,dead_nestlings,year,site
2021-04-16T11:07:47Z,2021-04-16T00:00:00Z,1899-12-30T10:50:00Z,1899-12-30T11:30:00Z,"KL, KG",MBN,MBNG12,TRES,-,4/8,0,0,-,NA,NA,NA,2021,MBNG
NA,2021-04-23T00:00:00Z,1899-12-30T09:35:00Z,1899-12-30T10:30:00Z,KL KG,MBN,MBNG12,TRES,1 in female,4/5,6,0,Hobos added,NA,NA,NA,2021,MBNG
2021-04-30T10:13:23Z,2021-04-30T00:00:00Z,1899-12-30T10:00:00Z,1899-12-30T10:30:00Z,"KL, KG",MBN,MBNG12,TRES,1 in,4/12,6,0,-,NA,NA,NA,2021,MBNG
NA,2021-05-07T00:00:00Z,1899-12-30T16:40:00Z,1899-12-30T18:30:00Z,KL KG,MBN,MBNG12,TRES,1 in 1 near,4/15,0,6,"WC: 6,6,8,8,8,7",NA,"6,6,8,8,8,7",NA,2021,MBNG
NA,2021-05-12T00:00:00Z,1899-12-30T07:30:00Z,1899-12-30T09:50:00Z,KL KG,MBN,MBNG12,TRES,female in,4/8,0,6,"WC: 20,16,19,20,15,13",NA,"20,16,19,20,15,13",NA,2021,MBNG
2021-05-17T09:16:43Z,2021-05-17T00:00:00Z,1899-12-30T07:30:00Z,1899-12-30T08:30:00Z,"KL, AG",MBN,MBNG12,TRES,-,4/10,0,5,banded,NA,NA,NA,2021,MBNG
2021-05-19T07:58:29Z,2021-05-19T00:00:00Z,1899-12-30T07:30:00Z,1899-12-30T08:00:00Z,"KL, KG",MBN,MBNG12,TRES,"1 on, 1 in",Skipped,NA,NA,Can hear loud nestlings in box,NA,NA,NA,2021,MBNG
2021-05-26T08:16:04Z,2021-05-26T00:00:00Z,1899-12-30T07:45:00Z,1899-12-30T08:15:00Z,"KL, KG",MBN,MBNG12,TRES,"1 on, 1 near",Skipped,NA,NA,"Nestlings audible inside, one sticking head out, parents feeding",NA,NA,NA,2021,MBNG
2021-06-02T07:50:14Z,2021-06-02T00:00:00Z,1899-12-30T07:30:00Z,1899-12-30T08:30:00Z,"KL, KG",MBN,MBNG12,TRES,"1 in, 1 on",3/0,0,0,"Empty nest, some new material on top. Removed loggers",NA,NA,NA,2021,MBNG
2021-06-09T08:44:33Z,2021-06-09T00:00:00Z,1899-12-30T08:15:00Z,1899-12-30T10:00:00Z,"KL, KG",MBN,MBNG12,TRES,2 near,4/2,4,0,NA,NA,NA,NA,2021,MBNG
2021-06-16T07:45:16Z,2021-06-16T00:00:00Z,1899-12-30T07:30:00Z,1899-12-30T08:30:00Z,"KL, KG",MBN,MBNG12,TRES,4 near,4/5,4,0,1 dead nestling pink nail polish,NA,NA,1,2021,MBNG
2021-06-23T08:37:26Z,2021-06-23T00:00:00Z,1899-12-30T08:00:00Z,1899-12-30T09:00:00Z,"KL, KG",MBN,MBNG12,TRES,1 in,4/10,2,2,"WC: 6,6 -just hatched",NA,6,NA,2021,MBNG
2021-06-30T08:07:01Z,2021-06-30T00:00:00Z,1899-12-30T07:47:59Z,1899-12-30T08:30:00Z,"KL, KG, TP",MBN,MBNG12,TRES,-,4/10,0,4,NA,NA,NA,NA,2021,MBNG
2021-04-16T11:19:58Z,2021-04-16T00:00:00Z,1899-12-30T10:50:00Z,1899-12-30T11:30:00Z,KL KG,MBN,MBNG21,TRES,1 inside box,3,0,0,-,NA,NA,NA,2021,MBNG
NA,2021-04-23T00:00:00Z,1899-12-30T09:35:00Z,1899-12-30T10:30:00Z,KL KG,MBN,MBNG21,TRES,4 near,2/1,0,0,4 adults near,NA,NA,NA,2021,MBNG
NA,2021-04-30T00:00:00Z,1899-12-30T10:00:00Z,1899-12-30T10:30:00Z,"KL, KG",MBN,MBNG21,TRES,2 near,4/4,3,0,extremely small nest,NA,NA,NA,2021,MBNG
NA,2021-05-07T00:00:00Z,1899-12-30T16:40:00Z,1899-12-30T18:30:00Z,KL KG,MBN,MBNG21,TRES,2 near,4/6,6,0,-,NA,NA,NA,2021,MBNG
NA,2021-05-12T00:00:00Z,1899-12-30T07:30:00Z,1899-12-30T09:50:00Z,KL KG,MBN,MBNG21,TRES,1 on,4/10,6,0,-,NA,NA,NA,2021,MBNG
2021-05-19T08:00:06Z,2021-05-19T00:00:00Z,1899-12-30T07:30:00Z,1899-12-30T08:45:00Z,KL KG,MBN,MBNG21,TRES,1 in,4/4,0,6,súper súper small nest!!!,NA,NA,NA,2021,MBNG
2021-05-26T08:16:39Z,2021-05-26T00:00:00Z,1899-12-30T07:40:00Z,1899-12-30T09:00:00Z,KL KG,MBN,MBNG21,TRES,3 near,4/8,0,5,"WC: 26,27,29",NA,"26,27,29",NA,2021,MBNG
2021-06-02T08:09:21Z,2021-06-02T00:00:00Z,1899-12-30T07:30:00Z,1899-12-30T09:00:00Z,KL KG,MBN,MBNG21,skipped,skipped,skipped,NA,NA,skipped- no action near nest,NA,NA,NA,2021,MBNG
2021-06-09T08:51:58Z,2021-06-09T00:00:00Z,1899-12-30T08:15:00Z,1899-12-30T10:00:00Z,KL KG DV,MBN,MBNG21,TRES,1 near,skipped,NA,NA,nestlings sticking their heads out of box and loud,NA,NA,NA,2021,MBNG
2021-06-16T07:53:09Z,2021-06-16T00:00:00Z,1899-12-30T07:30:00Z,1899-12-30T08:30:00Z,"KL, KG",MBN,MBNG21,TRES,-,3/0,0,0,1 unbanded dead fledgling,NA,NA,1,2021,MBNG
2021-06-23T08:24:06Z,2021-06-23T00:00:00Z,1899-12-30T08:00:00Z,1899-12-30T09:00:00Z,"KL, KG",MBN,MBNG21,ATFL?,-,2/1,0,0,Some furry bits- what kind of looks like an owl pellet??,NA,NA,NA,2021,MBNG
2021-06-30T08:06:35Z,2021-06-30T00:00:00Z,1899-12-30T07:45:00Z,1899-12-30T09:00:00Z,KL KG TP,MBN,MBNG21,TRES,-,4/3,0,0,-,NA,NA,NA,2021,MBNG
2021-04-16T11:31:25Z,2021-04-16T00:00:00Z,1899-12-30T10:50:00Z,1899-12-30T11:30:00Z,KL KG,MBN,MBNG25,TRES,2 nearby,4/ 7,0,0,closed with a screw but able to open- we should replace with a nail,NA,NA,NA,2021,MBNG
