date.x,plate,blood_num,s1,s2,blood_num_mother,brood_size,cort_s1_mother,cort_s2_mother,Species,Nestbox,year,habitat,canopy_cover,site,attempt_id,date.y,juliandate,ind_id,band_number,occasion,Age,age,Sex,meanh,meanmaxtempI,weight,wing,tail,skull,bill,tarsus,gweight,gwing,gtail,gskull,gbill,gtarsus,condition
10/13/2023,A26,B308,43.47,NA,B286,5,5.98,35.61,WEBL,MBNC13,2022,Forest,71.776,MB,2022_MBNC13_2,2022-06-28,179,2941-18513,2941-18513,3,L,15,M,46.08231336805556,37.17725,23.5,55,20,30,5.4,20,0.7999999999999998,4.25,3.25,0.17499999999999982,0.025000000000000133,-0.025000000000000355,1.175
10/3/2023,A21,B130,20.2,22.865,NA,5,NA,NA,WEBL,PICG1,2022,Grassland,0,PG,2022_PICG1_1,2022-05-24,144,2941-94531,NA,2,L,9,U,38.143328993055555,39.9855625,19.4,29,3,27.3,3.8,19,1.0333333333333325,4,0.6666666666666666,1.3000000000000007,0.2666666666666666,1.3666666666666665,1.0210526315789472
9/12/2023,A07,B079,16.275,54.59,B079,6,16.275,54.59,WEBL,PCC6,2022,Forest,NA,PG,2022_PCC6_1,2022-05-09,129,2941-18498,2941-18498,1,AHY,11,F,51.43942274305556,24.581249999999997,24.2,101,59,36,7.7,21.1,NA,NA,NA,NA,NA,NA,1.1469194312796207
9/13/2023,A09,B036,57.915,NA,NA,4,NA,NA,WEBL,BRO1,2022,Orchard,17.331999999999994,WI,2022_BRO1_1,2022-04-26,116,2941-18477,NA,1,L,6,U,50.225260416666664,24.375,NA,18,0,25.4,3.5,15.3,NA,NA,NA,NA,NA,NA,NA
9/21/2023,A12,B107,75.965,70.2,B048,5,4.5265,27.135,WEBL,MBNR1,2022,Row crop,3.882000000000005,MB,2022_MBNR1_1,2022-05-02,122,2941-94507,2941-94507,2,L,12,F,47.952486979166665,31.5115625,21.5,41,11,29.5,5,18.8,0.9000000000000004,4.75,2.5,0.625,0.125,0.27500000000000036,1.1436170212765957
9/21/2023,A12,B119,17.915,19.88,NA,4,NA,NA,WEBL,MCE3,2022,Orchard,27.081000000000003,WI,2022_MCE3_1,2022-05-12,132,2022_MCE3_1_Red,NA,2,L,12,U,NA,23.75,16.9,36,5,27.8,4.4,19.2,0.07499999999999973,2.875,0.5,0.4750000000000001,0,0.7749999999999999,0.8802083333333333
9/5/2023,A02,B534,132.6,205.1,B521,4,5.8985,35.215,WEBL,PCC5,2023,Forest,81.963,PG,2023_PCC5_1,2023-07-04,185,3181-01212,NA,2,L,10,U,60.32763888888889,34.8565,22.8,31,3,26.7,4.7,19,2.5,4,0.6,0.7399999999999999,0.26000000000000006,1.3800000000000001,1.2
9/5/2023,A02,B535,126.75,160.7,B521,4,5.8985,35.215,WEBL,PCC5,2023,Forest,81.963,PG,2023_PCC5_1,2023-07-04,185,3181-01211,NA,2,L,10,U,60.32763888888889,34.8565,24.8,31,4,28.5,4.5,19.7,2.64,3.8,0.8,1.3799999999999997,0.3,1.3799999999999997,1.2588832487309645
9/5/2023,A02,B543,134.65,226.6,B543,3,134.65,226.6,WEBL,RRRR3,2023,Row crop,0,RR,2023_RRRR3_1,2023-07-05,186,2941-94705,2941-94705,1,AHY,3,F,NA,37.823375,28.9,103,64,37,8.9,21.5,NA,NA,NA,NA,NA,NA,1.3441860465116278
9/5/2023,A02,B545,103.445,238.5,B545,1,103.445,238.5,WEBL,RRRG50,2023,Grassland,0,RR,2023_RRRG50_1,2023-07-06,187,2941-94706,2941-94706,1,AHY,4,F,NA,38.4436875,25.8,97,56,35.4,9.3,19.6,NA,NA,NA,NA,NA,NA,1.316326530612245
