Comments,Date,Start Time,End Time,Observer(s),Site,Nestbox,Species,Adult(s),Nest,Eggs,Nestlings,Notes
,2022-06-14T00:00:00Z,0:10,0:30,"PG, CP",BRO,BRO1,WEBL,1 WEBL calling near,"-	",-,-,Didn't hear nestlings
,2022-03-21T00:00:00Z,3:13,5:00,"KL, CL, EL, IS",FBFC,FBFC01,-,-,"-	",-,-,"one leaf in the box, spidery"
,2022-03-31T00:00:00Z,1:10,1:30,KG YW,FBFC,FBFC01,-,-,"-	",-,-,-
,2022-04-05T00:00:00Z,2:00,2:30,KG CP,FBFC,FBFC01,-,-,"-	",-,-,
,2022-04-14T00:00:00Z,0:15,0:45,KG WY,FBFC,FBFC01,-,-,"-	",-,-,Empty
,2022-04-21T00:00:00Z,4:10,4:40,"KL, KG",FBFC,FBFC01,-,-,"-	",-,-,
,2022-06-17T00:00:00Z,,,KL MM,FBFC,FBFC01,ATFL,-,"4	",4W,-,-
,2022-06-23T00:00:00Z,,,KG VW WY MZ,FBFC,FBFC01,ATFL,-,"4	",-,5,-
,2022-07-03T00:00:00Z,,,KG AT,FBFC,FBFC01,ATFL!,2 near,"4/fur	",-,4,big babies! skip next week
,2022-07-07T00:00:00Z,,,KG PGG MZ WY,FBFC,FBFC01,ATFL!,-,"-	",-,-,skipped this week
,2022-07-14T00:00:00Z,,,KG YW,FBFC,FBFC01,ATFL!,2 near,"-	",-,-,skipped this week
,2022-03-21T00:00:00Z,3:13,5:00,"KL, CL, EL, IS",FBFC,FBFC02,WEBL,-,"1	",-,-,1 stick
,2022-03-31T00:00:00Z,1:10,1:30,KG YW,FBFC,FBFC02,-,-,"-	",-,-,-
,2022-04-05T00:00:00Z,2:00,2:30,KG CP,FBFC,FBFC02,-,-,"-	",-,-,
,2022-04-14T00:00:00Z,0:15,0:45,KG WY,FBFC,FBFC02,-,-,"-	",-,-,Empty
,2022-04-21T00:00:00Z,4:10,4:40,"KL, KG",FBFC,FBFC02,-,-,"-	",-,-,
,2022-06-17T00:00:00Z,,,KL MM,FBFC,FBFC02,-,-,"-	",-,-,-
,2022-06-23T00:00:00Z,,,KG VW WY MZ,FBFC,FBFC02,-,-,"-	",-,-,-
,2022-07-03T00:00:00Z,,,KG AT,FBFC,FBFC02,-,-,"-	",-,-,skipped this week
,2022-07-07T00:00:00Z,,,KG PGG MZ WY,FBFC,FBFC02,-,-,"-	",-,-,-
,2022-07-14T00:00:00Z,,,KG YW,FBFC,FBFC02,-,-,"-	",-,-,-
,2022-03-21T00:00:00Z,3:13,5:00,"KL, CL, EL, IS",FBFC,FBFC03,-,-,"-	",-,-,
,2022-03-31T00:00:00Z,1:10,1:30,KG YW,FBFC,FBFC03,-,-,"-	",-,-,-
,2022-04-05T00:00:00Z,2:00,2:30,KG CP,FBFC,FBFC03,-,-,"-	",-,-,
,2022-04-14T00:00:00Z,0:15,0:45,KG WY,FBFC,FBFC03,-,-,"-	",-,-,Empty
,2022-04-21T00:00:00Z,4:10,4:40,"KL, KG",FBFC,FBFC03,-,-,"-	",-,-,
,2022-06-17T00:00:00Z,,,KL MM,FBFC,FBFC03,HOWR,-,"4	",-,3,"WC: 9,9,10,7"
,2022-06-23T00:00:00Z,,,KG VW WY MZ,FBFC,FBFC03,HOWR,1 near,"4	",-,3,eager to JUMP out! skip
,2022-07-03T00:00:00Z,,,KG AT,FBFC,FBFC03,-,-,"-	",-,-,skipped this week
,2022-07-07T00:00:00Z,,,KG PGG MZ WY,FBFC,FBFC03,HOWR,-,"4	",-,-,fledged
,2022-07-14T00:00:00Z,,,KG YW,FBFC,FBFC03,HOWR,-,"4	",-,-,-
,2022-03-21T00:00:00Z,3:13,5:00,"KL, CL, EL, IS",FBFC,FBFC04,-,-,"-	",-,-,
,2022-03-31T00:00:00Z,1:10,1:30,KG YW,FBFC,FBFC04,-,-,"-	",-,-,-
,2022-04-05T00:00:00Z,2:00,2:30,KG CP,FBFC,FBFC04,-,-,"-	",-,-,
,2022-04-14T00:00:00Z,0:15,0:45,KG WY,FBFC,FBFC04,-,-,"-	",-,-,Empty
,2022-04-21T00:00:00Z,4:10,4:40,"KL, KG",FBFC,FBFC04,-,-,"-	",-,-,
,2022-06-17T00:00:00Z,,,KL MM,FBFC,FBFC04,-,-,"-	",-,-,-
,2022-06-23T00:00:00Z,,,KG VW WY MZ,FBFC,FBFC04,-,-,"-	",-,-,-
,2022-07-03T00:00:00Z,,,KG AT,FBFC,FBFC04,-,-,"-	",-,-,skipped this week
,2022-07-07T00:00:00Z,,,KG PGG MZ WY,FBFC,FBFC04,-,-,"-	",-,-,-
,2022-07-14T00:00:00Z,,,KG YW,FBFC,FBFC04,-,-,"-	",-,-,-
,2022-03-21T00:00:00Z,3:13,5:00,"KL, CL, EL, IS",FBFC,FBFC05,-,-,"-	",-,-,
,2022-03-31T00:00:00Z,1:10,1:30,KG YW,FBFC,FBFC05,-,-,"-	",-,-,-
,2022-04-05T00:00:00Z,2:00,2:30,KG CP,FBFC,FBFC05,-,-,"-	",-,-,
,2022-04-14T00:00:00Z,0:15,0:45,KG WY,FBFC,FBFC05,-,-,"-	",-,-,Empty
,2022-04-21T00:00:00Z,4:10,4:40,"KL, KG",FBFC,FBFC05,-,-,"-	",-,-,
,2022-06-17T00:00:00Z,,,KL MM,FBFC,FBFC05,ATFL,-,"4	",3C,-,-
,2022-06-23T00:00:00Z,,,KG VW WY MZ,FBFC,FBFC05,ATFL,-,"4	",3A,-,-
,2022-07-03T00:00:00Z,,,KG AT,FBFC,FBFC05,-,-,"-	",-,-,skipped this week
,2022-07-07T00:00:00Z,,,KG PGG MZ WY,FBFC,FBFC05,ATFL,-,"-	",3C,-,abandoned
,2022-07-14T00:00:00Z,,,KG YW,FBFC,FBFC05,ATFL,-,"-	",3C,-,abandoned
,2022-03-21T00:00:00Z,3:13,5:00,"KL, CL, EL, IS",FBFC,FBFC06,-,-,"-	",-,-,
,2022-03-31T00:00:00Z,1:10,1:30,KG YW,FBFC,FBFC06,-,-,"-	",-,-,-
,2022-04-05T00:00:00Z,2:00,2:30,KG CP,FBFC,FBFC06,-,-,"-	",-,-,
,2022-04-14T00:00:00Z,0:15,0:45,KG WY,FBFC,FBFC06,-,-,"-	",-,-,Empty
,2022-04-21T00:00:00Z,4:10,4:40,"KL, KG",FBFC,FBFC06,-,-,"-	",-,-,
,2022-06-17T00:00:00Z,,,KL MM,FBFC,FBFC06,-,-,"-	",-,-,-
,2022-06-23T00:00:00Z,,,KG VW WY MZ,FBFC,FBFC06,-,-,"-	",-,-,-
,2022-07-03T00:00:00Z,,,KG AT,FBFC,FBFC06,-,-,"-	",-,-,skipped this week
,2022-07-07T00:00:00Z,,,KG PGG MZ WY,FBFC,FBFC06,-,-,"-	",-,-,-
,2022-07-14T00:00:00Z,,,KG YW,FBFC,FBFC06,-,-,"-	",-,-,-
,2022-03-21T00:00:00Z,3:13,5:00,"KL, CL, EL, IS",FBFC,FBFC07,HOSP?,-,"2	",-,-,left nest - check next week
,2022-03-31T00:00:00Z,1:10,1:30,KG YW,FBFC,FBFC07,HOWR,-,"3	",-,-,-
,2022-04-05T00:00:00Z,2:00,2:30,KG CP,FBFC,FBFC07,HOWR,-,"3	",-,-,
,2022-04-14T00:00:00Z,0:15,0:45,KG WY,FBFC,FBFC07,HOWR,-,"3	",-,-,
,2022-04-21T00:00:00Z,4:35,4:49,KG KL,FBFC,FBFC07,-,-,"-	",-,-,-
,2022-04-21T00:00:00Z,4:10,4:40,"KL, KG",FBFC,FBFC07,HOWR,-,"3	",-,-,
,2022-06-17T00:00:00Z,,,KL MM,FBFC,FBFC07,HOWR,-,"4	",4C,-,-
