year,box,canopy_cover
2021,PICR3,0
2021,RRRR2,0
2021,PICG6,0
2021,PICR8,0
2021,RRRG1,0
2021,RRRG11,0
2021,RRRG3,0
2021,PCT9,NA
2021,PICR4,0
2021,PICG10,0
2021,RRRR3,0
2021,RRRR5,0
2021,MCO8,NA
2021,PICR9,0
2021,RRRG8,0
2021,PICR10,0
2021,RRRR4,0
2021,PICG9,0
2021,MBNR4,0
2021,RRRG2,0
2022,MBNG1,0
2022,RRRG6,0
2022,FBFO01,NA
2022,PCC7,NA
2022,MBNG12,0
2022,RRRG7,0
2022,RRRR2,0
2022,MCO2,
2022,PCC1,NA
2022,RRRG1,0
2022,PCC10,NA
2022,PCC6,NA
2022,RRC13,NA
2022,RRRG5,0
2022,RRRR10,0
2022,RRRR5,0
2022,RRRR1,0
2022,RRRR3,0
2022,RRE10,NA
2022,RRRR,NA
2022,BRO8,NA
2022,RRRG4,0
2022,RRRR6,0
2022,RRRR8,0
2022,RRRG36,0
2022,RRRG41,0
2022,FBFR09,0
2022,FBFR10,0
2022,RRRG9,0
2022,FBFG10,0
2023,PICR10,0
2023,PICG7,0
2023,PCC12,NA
2023,PCC9,NA
