Order,Comments,Site,Nestbox,Attempt No. ,Species,Male ID,Female ID,First Egg Date,First Egg Date Certainty,Clutch Size,Incubation Begins Date,Eggs Hatched,Eggs Failed-to-Hatch,Eggs Abandoned,Eggs Depredated,Eggs Destroyed,Egg Unknown Fate,Brood Size,Hatch Date,HD Observed or Estimated?,Earliest Target Banding Date,Latest Target Banding Date,Team Avail,Date Banded,Nestlings Fledging,Nestlings Perishing,Nestlings Abandoned,Nestlings Depredated or Missing,Nestlings Destroyed,BAND numbers of Nestlings,Notes,,,
21,"WC 15, 15, 15 6/12/23",BR-DCC,BRE2.4,1,ATFL,,,5/22/2023,observed,4,5/25/2023,4,,,,,,4,6/8/2023,estimated,6/17/2023,6/18/2023,,6/20/2023,3,,,1,,,,,,
3,eggs dwindling? (2A to 1A to 0),BR-DCC,BRE1,1,TRES,,,4/30/2023,observed,2,n/a,0,,,,,2,0,n/a,,,,,n/a,0,,,,,,,,,
4,eggs dwindling? (3 to 2A),BR-DCC,BRE0.5,1,TRES,,,5/14/2023,observed,6,5/19/2023,6,,,,,,6,6/1/2023,estimated,6/12/2023,6/14/2023,,6/12/2023,6,,,,,2881-27569 - 74,,,,
5,"WC 6/9/23 34, 29, 30",BR-DCC,BRC0.25,1,TRES,,,4/30/2023,observed,5,5/4/2023,5,,,,,,5,5/18/2023,estimated,5/29/2023,5/31/2023,,5/29/2023,5,,,,,,"WC 5/24/23 19, 18, 16",,,
6,,BR-DCC,BRE1.5,1,TRES,,,4/29/2023,observed,6,5/4/2023,5,1,,,,,5,5/19/2023,estimated,5/30/2023,6/1/2023,,5/31/2023,5,,,,,2881-2730178 - 82,"WC 5/24/23 15,15, 16",,,
7,,BR-DCC,BRC1.8,1,TRES,,,4/29/2023,observed,6,5/4/2023,6,,,,,,6,5/20/2023,estimated,5/31/2023,6/2/2023,,5/31/2023,?,,,,,2881-2730183 - 88,Too mucvh growth after banding couldnt check fledgling status. ,,,
9,band friday,BR-DCC,BRC2.2,1,TRES,,,5/3/2023,observed,5,5/7/2023,5,,,,,,5,5/21/2023,estimated,6/1/2023,6/3/2023,,6/2/2023,??,,,,,2881-27393 - 97,"WC 5/24/23 8, 11, 10, box wasnt checked since banding. where is it?",,,
10,"5/31/23 WC 25, 18, 20 ~ 8 days old",BR-DCC,BRE3,1,TRES,,,5/2/2023,observed,6,5/7/2023,4,,,,,2,4,5/24/2023,estimated,6/5/2023,6/7/2023,,6/7/2023,3,,,1,,2811-15853 - 55,,,,
12,"5 nestlings missing, 2 banded",BR-DCC,BRE4,1,TRES,,,5/9/2023,observed,7,5/15/2023,7,,,,,,7,5/28/2023,estimated,6/8/2023,6/10/2023,,6/9/2023,2,,,5,,2811-15866 - 67,only 2 banded. 5 missing on banding day. no signs of predation according to weekly check.,,,
15,Lauck HB 7/4,BR-DCC,BRO4,1,TRES,,,5/12/2023,estimated,5,5/17/2023,3,2,0,0,0,0,3,5/31/2023,estimated,6/13/2023,6/15/2023,,6/13/2023,0,1,,2,,,very confused. weekly check says only one nestling on 6/6 but 3 on 6/13 it says there are 3 and they are banded. ,,,
16,"eggs ambient on 5/29/23, abandoned-- warm again on 6/14/2023, ambient on 7/12. ",BR-DCC,BRO10,1,TRES,,,5/13/2023,observed,5,5/17/2023,0,0,5,0,0,0,0,n/a,n/a,,,,n/a,0,,,,,,nest abandoned. collected for MWFB on 8/1,,,
18,nestlings about to fledge on 6/14/2023,BR-DCC,BRO3,1,TRES,unbanded,Sv R,5/14/2023,observed,5,5/18/2023,3,2,,,,,3,6/1/2023,estimated,missed,missed,,missed,3,,,,,,not chekced for 2 weeks in june for unk reason. missed banding window. potentially more than 3. ,,,
19,Lauck HB 7/4,BR-DCC,BRO8,1,TRES,,,6/4/2023,estimated,5,6/9/2023,4,1,,,,,4,6/18/2023,estimated,7/2/2023,7/4/2023,,n/a,0,4,,,,,die off. maybe predation?,,,
20,"WC 6/14/2023 62, 61",BR-DCC,BRO9,1,TRES,,,5/13/2023,observed,6,5/18/2023,4,1,,,,1,4,6/1/2023,estimated,6/12/2023,6/14/2023,,missed??,4,,,,,,,,,
23,"6/27/2023 WC: 19, 20, 17",BR-DCC,BRC.5,1,TRES,,,6/6/2023,estimated,3,6/9/2023,3,,,,,,3,6/23/2023,estimated,7/4/2023,7/7/2023,AK/LG,7/4/2023,3,,,,,2811-15879-81,,,,
22,"may be abandoned, still ambient on 7/12/23",BR-DCC,BRC2,2,TRES,,,5/27/2023,estimated,5,n/a,0,,5,,,,0,n/a,n/a,,,,,0,,,,,,,,,
24,,BR-DCC,BRO1,2,TRES,,,6/13/2023,estimated,4,6/17/2023,4,0,0,0,0,0,4,6/30/2023,estimated,7/11/2023,7/13/2023,,7/11/2023,4,0,0,0,0,,don't know anything about these after 7/18,,,
1,Lauck start 5/4/23,BR-DCC,BRO1,1,WEBL,,,4/24/2023,observed,5,4/29/2023,5,0,0,0,0,0,5,5/11/2023,estimated,5/24/2023,5/26/2023,,5/23/2023,5,,,,,,,,,
2,,BR-DCC,BRO2,1,WEBL,GNXX/SvOE,,4/23/2023,observed,5,4/27/2023,5,,,,,,5,5/10/2023,observed,5/24/2023,5/26/2023,,5/26/2023,5,,,,,2941-18589 - 93,"WC 5/22/23 45, 45, 49",,,
