Order,Comments,Site,Nestbox,Attempt No. ,Species,Male ID,Female ID,First Egg Date,First Egg Date Certainty,Clutch Size,Incubation Begins Date,Eggs Hatched,Eggs Failed-to-Hatch,Eggs Abandoned,Eggs Depredated,Eggs Destroyed,Egg Unknown Fate,Brood Size,Hatch Date,HD Observed or Estimated?,Earliest Target Banding Date,Latest Target Banding Date,Team Avail,Date Banded,Nestlings Fledging,Nestlings Perishing,Nestlings Abandoned,Nestlings Depredated or Disappeared,Nestlings Destroyed,BAND numbers of Nestlings,Notes,,,
1,,Picnic Grounds,PCC3,1,WEBL,WEBL-OEXX-(WH/SV?)XX-M,unbanded,4/14/2023,confirmed ,3,4/16/2023,3,0,0,0,0,0,3,5/3/2023,estimated,5/17/2023,5/19/2023,,n/a,3,,,,,,,,,
2,Lauck takeover 5/4,Picnic Grounds,PCC8,1,WEBL,,WEBL-GYOR-WHSV-F,4/26/2023,estimated,5,4/28/223,4,1,0,0,0,0,4,5/10/2023,estimated,5/23/2023,5/25/2023,,n/a,0,0,0,4,0,,,,,
8,"WC: 7, 9, 8, 9, 8 (3do)",Picnic Grounds,PCT3,1,TRES,one of pair unbanded,,4/28/2023,estimated,6,5/4/2023,5,1,,,,,5,5/15/2023,estimated,5/28/2023,5/30/2023,,5/26/2023,5,,,,,2811-1535 - 39,,,,
6,Lauck takeover 5/9,Picnic Grounds,PCC12,1,TRES,,,4/30/2023,estimated,5,5/4/2023,5,0,0,0,0,0,5,5/10/2023,estimated,5/26/2023,5/28/2023,,5/27/2023,5,,,,,,,,,
7,"WC 34, 38, 35 5/26/23",Picnic Grounds,PCT2,1,WEBL,SVRD/OEGN-M,,4/30/2023,estimated,5,5/4/2023,4,1,,,,,4,5/16/2023,estimated,5/30/2023,6/1/2023,,5/29/2023,4,,,,,,,,,
4,WC (6/9): 45mm,Picnic Grounds,PCE9,1,WEBL,unbanded,unbanded,5/1/2023,estimated,5,5/6/2023,5,1,,,,,5,5/21/2023,estimated,6/1/2023,6/3/2023,,6/6/2023,2,,,3,,3181/01129 - 30,,,,
9,"WC: 23, 16, 22 (7do)",Picnic Grounds,PCT6,1,TRES,,,5/2/2023,estimated,3,5/5/2023,3,,,,,,3,5/12/2023,estimated,5/24/2023,5/26/2023,,5/26/2023,3,,,,,2811-1540 - 42,,,,
21,"WC 39, 40, 41",Picnic Grounds,PCC11,1,TRES,,,5/2/2023,estimated,3,5/5/2023,3,,,,,,3,5/16/2023,estimated,5/27/2023,5/29/2023,,5/29/2023,3,,,,,,,,,
3,Lauck TO 5/9 HB 7/4,Picnic Grounds,PCC7,1,WEBL,,,5/4/2023,estimated,5,5/9/2023,5,0,0,0,0,0,5,5/22/2023,estimated,6/4/2023,6/6/2023,,6/6/2023,0,,,,4,,box knocked to ground and equipment stolen. ,,,
11,"WC 11, 14, 15 5/26/23",Picnic Grounds,PCT1,1,WEBL,,,5/4/2023,estimated,5,5/9/2023,4,,,,,1,4,5/22/2023,estimated,6/3/2023,6/5/2023,,6/6/2023,3,1,,,,3181-01126 - 28,,,,
10,,Picnic Grounds,PCT9,1,WEBL,,,5/5/2023,confirmed ,1,n/a,0,,,,,1,0,,,,,,,0,,,,,,,,,
14,"WC 13, 13, 13",Picnic Grounds,PCC10,1,WEBL,,,5/8/2023,estimated,5,5/12/2023,4,1,,,,,4,6/11/2023,estimated,6/25/2023,6/27/2023,,n/a,0,4,,3,,,,,,
13,"WC (6/2): 16, 18, 22",Picnic Grounds,PCC6,1,WEBL,,,5/9/2023,estimated,5,5/14/2023,5,,,,,,2,5/26/2023,observed,6/9/2023,6/11/2023,,6/9/2023,2,,,3,,,,,,
16,"WC (6/9): 44mm, 46mm, 45mm",Picnic Grounds,PCC13,1,WEBL,,,5/9/2023,estimated,5,5/14/2023,5,,,,,,5,5/27/2023,estimated,6/10/2023,6/12/2023,,6/12/2023,3,1,,2,,3181-01143 - 45,"banded on 6/12 and there were only 3 chicks in nest. previous checks had 5 chicks, then 4. no signs of dead bodies in nest or on ground so assumed 2 depredated or died and removed from nest",,,
17,"WC (6/2): 22, 23",Picnic Grounds,PCT4,1,WEBL,,,5/9/2023,estimated,3,5/12/2023,3,,,,,,2,5/26/2023,observed,6/8/2023,6/10/2023,,6/9/2023,2,,,1,,,,,,
15,"WC (6/2): 16, 16, 18",Picnic Grounds,PCE10,1,WEBL,,,5/11/2023,estimated,5,5/16/2023,3,1,,,,1,3,5/27/2023,estimated,6/10/2023,6/12/2023,,6/9/2023,1,,,2,,,,,,
12,"WC (6/9): 43mm, 36mm, 36mm",Picnic Grounds,PCC1,1,WEBL,OEXX-SVXX,,5/12/2023,confirmed ,4,5/17/2023,3,,,,,1,3,5/29/2023,estimated,6/10/2023,6/12/2023,,6/14/2023,3,,,,,,,,,
20,"WC (6/9): 30mm, 26mm, 25mm",Picnic Grounds,PCC18,1,WEBL,OEXX-XXXX,,5/13/2023,estimated,5,5/18/2023,5,,,,,,2,5/30/2023,estimated,6/13/2023,6/15/2023,,6/14/2023,2,,,3,,,,,,
5,"WC (6/2): 8, 10, 10",Picnic Grounds,PCE6,1,WEBL,WEBL-OEXX-(WH/SV?)XX-M,unbanded,5/15/2023,confirmed ,5,5/19/2023,5,,,,,,5,5/30/2023,estimated,6/13/2023,6/15/2023,,6/14/2023,5,,,,,,,,,
23,"6 eggs counted on 6/2, but may be due to difficulty of accessing nest cup",Picnic Grounds,PCT9,1,HOWR,,,5/16/2023,confirmed ,7,5/23/2023,6,,,,,1,6,6/3/2023,estimated,6/12/2023,6/13/2023,,n/a,6,,,,,,,,,
19,"WC (6/9): 12mm, 18mm, 20mm",Picnic Grounds,PCE7,1,WEBL,,,5/17/2023,confirmed ,5,5/22/2023,5,,,,,1,4,6/2/2023,observed,6/16/2023,6/18/2023,,6/16/2023,4,,,1,,,,,,
18,PB Lauck 7/17,Picnic Grounds,PCC9,1,WEBL,,,5/19/2023,confirmed ,5,5/23/2023,4,0,0,0,0,1,4,6/6/2023,observed,6/19/2023,6/21/2023,,6/20/2023,4,0,0,0,0,,,,,
22,"WC (6/24): 32, 37, 39",Picnic Grounds,PCT5,1,WEBL,,,5/19/2023,confirmed ,6,5/24/2023,5,,,,,1,5,6/13/2023,estimated,6/27/2023,6/29/2023,,6/27/2023,5,,,,,,,,,
24,"WC (6/24): 33, 34, 36",Picnic Grounds,PCC2,1,WEBL,WEOE SVOE,unbanded,5/29/2023,estimated,4,6/2/2023,3,1,,,,,3,6/13/2023,estimated,6/27/2023,6/29/2023,,6/27/2023,3,,,,,,,,,
25,"WC (6/24): 8,9,9",Picnic Grounds,PCC3,2,WEBL,2 mal present; 1 w/ WE bnd,unbnd,6/6/2023,estimated,4,6/9/2023,4,,,,,,4,6/22/2023,estimated,7/5/2023,7/7/2023,AK,7/6/2023,4,,,,,3181-01253-56,,,,
26,,Picnic Grounds,PCC5,1,WEBL,,,6/8/2023,estimated,4,6/12/2023,4,0,0,0,0,0,4,6/25/2023,estimated,7/8/2023,7/10/2023,,7/9/2023,4,0,0,0,0,,,,,
27,PB Lauck 7/8,Picnic Grounds,PCC8,2,WEBL,,,6/9/2023,confirmed ,4,6/13/2023,1,0,0,0,0,3,1,6/24/2023,estimated,7/7/2023,7/9/2023,,NA,0,,,1,,,,,,
28,,Picnic Grounds,PCC12,2,TRES,,,6/16/2023,confirmed ,4,6/20/2023,4,0,0,0,0,0,4,7/2/2023,estimated,7/13/2023,7/15/2023,,7/13/2023,4,0,0,0,0,,,,,
30,"WC (7/15): 28, 29, 30",Picnic Grounds,PCT2,2,WEBL,,,6/19/2023,confirmed ,5,6/24/2023,3,0,0,0,0,0,4,7/8/2023,observed,7/19/2023,7/21/2023,"AK, SB 7/20",7/20/2023,2,1,0,0,0,3181-01161-64,banded!,,,
29,"WC (7/15): 35, 37, 40",Picnic Grounds,PCT6,2,TRES,,,6/20/2023,confirmed ,4,6/24/2023,4,0,0,0,0,0,4,7/8/2023,observed,7/16/2023,7/18/2023,"AK, LG 7/18",7/18/2023,1,3,0,0,0,,,,,
31,"WC (7/29): 41, 41",Picnic Grounds,PCC 13,2,WEBL,,,6/30/2023,estimated,5,7/4/2023,3,2,0,0,0,0,3,7/17/2023,estimated,7/30/2023,8/1/2023,AK 8/1,N/A,0,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,83,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,54,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,
