date,plate,assay_format,species,blood_num,r1_s1,r1_s2,r2_s1,r2_s2,mean_s1,mean_s2,d_s1,d_s2
2023-08-24,A01,100,TRES,B571,7.974,NA,17.29,NA,12.632,NA,9.315999999999999,NA
2023-08-24,A01,100,TRES,B538,7.169,80.24,5.414,83.59,6.291499999999999,81.91499999999999,1.755,3.3500000000000085
2023-08-24,A01,100,TRES,B546,13.1,28.73,1.944,29.7,7.522,29.215,11.155999999999999,0.9699999999999989
2023-08-24,A01,100,TRES,B564,13.6,102.5,14.92,122.2,14.26,112.35,1.3200000000000003,19.700000000000003
2023-08-24,A01,100,TRES,B565,12.02,113.7,11,121.5,11.51,117.6,1.0199999999999996,7.799999999999997
2023-09-06,A03,50,WEBL,B487,12.71,19.65,13.35,14.01,13.030000000000001,16.83,0.6399999999999988,5.639999999999999
2023-09-06,A03,50,WEBL,B491,3.616,34.91,NA,29.22,3.616,32.065,NA,5.689999999999998
2023-09-06,A04,50,WEBL,B579,NA,1.499,NA,12.75,NA,7.1245,NA,11.251
2023-09-06,A04,50,WEBL,B580,NA,2.266,7.963,13.77,7.963,8.018,NA,11.504
2023-09-06,A04,50,WEBL,B581,26.07,76.89,42.34,70.26,34.205,73.575,16.270000000000003,6.6299999999999955
2023-09-06,A04,50,WEBL,B582,4.24,NA,NA,9.949,12.45,5.8235,16.42,8.251
2023-09-06,A04,50,WEBL,B583,4.062,4.972,3.885,14.65,3.9735,9.811,0.1770000000000005,9.678
2023-09-06,A04,50,WEBL,B584,NA,5.476,2.214,NA,5.339,3.2705,6.25,4.411
2023-09-06,A04,50,WEBL,B499,0.9248,20.24,NA,13.26,0.9248,16.75,NA,6.979999999999999
2023-09-06,A04,50,WEBL,B501,NA,10.72,NA,16.86,NA,13.79,NA,6.139999999999999
2023-09-06,A04,50,WEBL,B502,NA,22.06,NA,31.99,NA,27.025,NA,9.93
2023-09-06,A04,50,WEBL,B503,NA,41.34,NA,26.8,NA,34.07,NA,14.540000000000003
2023-09-07,A05,100,WEBL,B589,5.238,8.844,4.398,20.76,4.818,14.802,0.8400000000000007,11.916000000000002
2023-09-07,A05,100,WEBL,B506,6.413,67.84,4.36,51.38,5.3865,59.61,2.053,16.46
2023-09-07,A05,100,WEBL,B043,6.459,NA,13.58,NA,10.0195,NA,7.121,NA
2023-09-12,A07,100,WEBL,B065,4.415,34.69,4.927,39.82,4.670999999999999,37.254999999999995,0.5119999999999996,5.130000000000003
2023-09-12,A07,100,WEBL,B072,3.896,29.76,5.612,38.67,4.754,34.215,1.7160000000000002,8.91
2023-09-12,A07,100,WEBL,B076,4.283,41.71,6.538,49.27,5.410500000000001,45.49,2.255,7.560000000000002
2023-09-12,A07,100,WEBL,B078,4.651,56.95,4.927,64.35,4.789,60.65,0.2759999999999998,7.3999999999999915
2023-09-12,A07,100,WEBL,B079,14.98,51.46,17.57,57.72,16.275,54.59,2.59,6.259999999999998
2023-09-12,A07,100,WEBL,B080,7.028,52.6,7.493,60.92,7.2605,56.760000000000005,0.46500000000000075,8.32
2023-09-12,A07,100,WEBL,B005,8.897,67.71,7.754,79.64,8.3255,73.675,1.1430000000000007,11.930000000000007
2023-09-13,A08,100,WEBL,B011,4.219,23.71,4.409,29.18,4.314,26.445,0.1899999999999995,5.469999999999999
2023-09-13,A08,100,WEBL,B030,9.253,43.49,8.482,49.51,8.8675,46.5,0.7710000000000008,6.019999999999996
2023-09-13,A08,100,WEBL,B031,NA,85.36,12.14,82.32,12.14,83.84,NA,3.0400000000000063
2023-09-13,A09,100,WEBL,B036,57.54,NA,58.29,NA,57.915,NA,0.75,NA
2023-09-13,A09,100,TRES,B087,27.87,NA,23.49,NA,25.68,NA,4.380000000000003,NA
2023-09-13,A09,100,TRES,B088,11.42,19.92,18.73,18.73,19.325000000000003,16.39,1.1900000000000013,9.94
2023-09-13,A09,100,TRES,B089,17.42,49.36,15.51,46.54,16.465,47.95,1.910000000000002,2.8200000000000003
2023-09-13,A09,100,TRES,B567,5.719,34.74,3.29,27.87,4.5045,31.305,2.4290000000000003,6.870000000000001
2023-09-13,A09,100,TRES,B570,5.021,89.97,4.601,95.97,4.811,92.97,0.41999999999999993,6
2023-09-14,A10,100,TRES,B572,8.103,81.48,8.914,84.21,8.5085,82.845,0.8109999999999999,2.7299999999999898
2023-09-14,A10,100,TRES,B516,5.598,62.82,8.195,40.84,6.8965,51.83,2.5970000000000004,21.979999999999997
2023-09-14,A10,100,TRES,B517,13.23,46.18,39.45,45.18,26.340000000000003,45.68,26.220000000000002,1
2023-09-14,A11,100,TRES,B445,4.762,82.39,4.923,84.6,4.842499999999999,83.495,0.16100000000000048,2.2099999999999937
2023-09-14,A11,100,MIXED,B081,17.13,NA,14.12,NA,15.625,NA,3.01,NA
2023-09-14,A11,100,MIXED,B085,12.47,61.32,2.891,63,7.6805,62.16,9.579,1.6799999999999997
2023-09-14,A11,100,MIXED,B086,8.478,81.42,6.374,90.15,7.426,85.785,2.104,8.730000000000004
2023-09-14,A11,100,MIXED,B100,10.33,84.82,10.97,83.46,10.65,84.13999999999999,0.6400000000000006,1.3599999999999994
2023-09-21,A12,100,MIXED,B107,69.34,72.39,71.06,79.54,75.965,70.2,7.150000000000006,1.7199999999999989
2023-09-21,A12,100,MIXED,B119,17.76,20.16,18.07,19.6,17.915,19.880000000000003,0.3099999999999987,0.5599999999999987
2023-09-21,A13,100,MIXED,B409,8.382,24.21,5.2,21.03,22.62,6.791,3.1799999999999997,3.1819999999999995
2023-09-21,A13,100,MIXED,B412,NA,8.797,NA,2.289,NA,5.543,NA,6.508000000000001
2023-09-21,A13,100,MIXED,B416,NA,25.03,NA,31.44,NA,28.235,NA,6.41
2023-09-21,A13,100,MIXED,B424,4.208,27.02,1.654,21.16,2.931,24.09,2.5540000000000003,5.859999999999999
2023-09-22,A14,100,MIXED,B426,0.867,115.2,1.205,109.9,1.036,112.55000000000001,0.3380000000000001,5.299999999999997
2023-09-22,A14,100,MIXED,B431,10.14,42.56,9.399,36.93,9.7695,39.745000000000005,0.7410000000000014,5.630000000000003
2023-09-22,A14,100,MIXED,B439,7.936,57.39,5.159,42.16,6.547499999999999,49.775,2.777,15.230000000000004
2023-09-22,A15,100,MIXED,B451,9.332,26.71,6.223,21.45,7.7775,24.08,3.109000000000001,5.260000000000002
2023-09-22,A15,100,MIXED,B455,7.789,45.94,9.833,51.49,8.811,48.715,2.0440000000000005,5.550000000000004
2023-09-22,A15,100,MIXED,B463,3.051,11.24,1.786,6.003,2.4185,8.621500000000001,1.2650000000000001,5.237
2023-09-22,A15,100,MIXED,B467,4.721,47.58,5.857,40.15,5.289,43.864999999999995,1.1360000000000001,7.43
2023-09-25,A16,100,mixed,B363,6.189,36.6,11.03,44.44,8.6095,40.519999999999996,4.840999999999999,7.839999999999996
2023-09-25,A16,100,mixed,B364,3.234,20.06,6.352,25.26,4.793,22.66,3.1180000000000003,5.200000000000003
2023-09-25,A16,100,mixed,B366,6.185,54.26,5.679,47.44,5.932,50.849999999999994,0.5059999999999993,6.82
2023-09-26,A18,100,WEBL,B395,7.519,45.25,5.344,58.19,6.4315,51.72,2.175,12.939999999999998
2023-09-26,A18,100,WEBL,B396,3.444,22.85,4.084,29.15,3.764,26,0.6399999999999997,6.299999999999997
2023-09-26,A18,100,MIXED,B329,3.001,11.26,2.673,5.418,2.8369999999999997,8.339,0.32799999999999985,5.842
2023-09-27,A19,100,WEBL,B384,0.05098,25.62,NA,32.81,0.05098,29.215000000000003,NA,7.190000000000001
2023-09-27,A19,100,WEBL,B387,5.523,29.37,7.103,23.33,6.313,26.35,1.58,6.040000000000003
2023-09-27,A19,100,WEBL,B388,4.08,29.6,6.135,22.1,5.1075,25.85,2.0549999999999997,7.5
2023-09-27,A20,100,WEBL,B343,4.346,14.4,4.698,8.673,4.522,11.5365,0.3520000000000003,5.727
2023-09-27,A20,100,WEBL,B344,6.343,30.27,6.742,37.67,6.5425,33.97,0.399,7.400000000000002
2023-09-27,A20,100,WEBL,B347,6.825,13.05,6.664,21.31,6.7445,17.18,0.16100000000000048,8.259999999999998
2023-09-27,A20,100,WEBL,B348,3.399,56.39,3.116,44.01,3.2575000000000003,50.2,0.2829999999999999,12.380000000000003
2023-09-27,A20,100,WEBL,B360,11.31,36.72,6.68,42.1,8.995000000000001,39.41,4.630000000000001,5.380000000000003
2023-09-27,A20,100,MIXED,B121,9.125,41.72,7.062,32.98,8.0935,37.349999999999994,2.0629999999999997,8.740000000000002
2023-10-03,A21,100,MIXED,B124,0.109,51.5,0.179,40.66,0.144,46.08,0.06999999999999999,10.840000000000003
2023-10-03,A21,100,MIXED,B128,3.509,15.52,2.936,10.27,3.2225,12.895,0.573,5.25
2023-10-03,A21,100,MIXED,B130,19.62,24.1,20.78,21.63,20.200000000000003,22.865000000000002,1.1600000000000001,2.4700000000000024
2023-10-03,A21,100,MIXED,B132,6.56,19.58,6.019,13.64,6.2895,16.61,0.5409999999999995,5.939999999999998
2023-10-03,A21,100,MIXED,B139,9.168,65.89,7.347,55.74,8.2575,60.815,1.8209999999999988,10.149999999999999
2023-10-03,A21,100,MIXED,B140,5.379,44.3,3.634,36.49,4.5065,40.394999999999996,1.7449999999999997,7.809999999999995
2023-10-03,A22,100,MIXED,B151,5.336,35.03,6.477,29.96,5.9065,32.495000000000005,1.141,5.07
2023-10-03,A22,100,MIXED,B152,3.962,26.47,3.483,34.68,3.7225,30.575,0.4790000000000001,8.21
2023-10-03,A22,100,MIXED,B202,21.2,NA,14.75,NA,17.975,NA,6.449999999999999,NA
2023-10-04,A23,100,MIXED,B204,8.2,39.38,10.14,30.17,9.17,34.775000000000006,1.9400000000000013,9.21
2023-10-04,A23,100,MIXED,B206,5.945,22.4,4.688,27.97,5.3165,25.185,1.2570000000000006,5.57
2023-10-04,A23,100,MIXED,B209,8.213,43.17,7.92,28.59,8.0665,35.88,0.29299999999999926,14.580000000000002
2023-10-04,A23,100,MIXED,B214,1.753,79.68,1.616,62.12,1.6844999999999999,70.9,0.1369999999999998,17.56000000000001
2023-10-04,A24,100,MIXED,B228,25.03,70.13,27.11,62.46,26.07,66.295,2.0799999999999983,7.669999999999995
2023-10-04,A24,100,MIXED,B482,7.594,15.81,6.542,20.89,7.068,18.35,1.0520000000000005,5.08
2023-10-13,A25,100,MIXED,B518,4.696,27.52,6.443,33.29,5.5695,30.405,1.7469999999999999,5.77
2023-10-13,A25,100,MIXED,B281,4.372,41.26,3.505,35.72,3.9385,38.489999999999995,0.867,5.539999999999999
2023-10-13,A25,150,MIXED,B283,NA,13.25,NA,19.96,NA,16.605,NA,6.710000000000001
2023-10-13,A26,189.4,MIXED,B299,14.86,NA,16.27,NA,15.565,NA,1.4100000000000001,NA
2023-10-13,A26,100,MIXED,B301,12.88,12.16,7.253,15.21,10.066500000000001,13.685,5.627000000000001,3.0500000000000007
2023-10-13,A26,100,MIXED,B308,48.29,NA,38.65,NA,43.47,NA,9.64,NA
2023-10-13,A26,100,MIXED,B311,10.04,22.26,9.829,16.41,9.9345,19.335,0.21099999999999852,5.850000000000001
2023-10-13,A26,100,MIXED,B312,6.079,60.18,6.986,47.01,6.5325,53.595,0.907,13.170000000000002
2023-10-13,A26,100,MIXED,B313,6.551,52.55,5.817,46.29,6.184,49.42,0.734,6.259999999999998
2023-10-13,A26,100,MIXED,B316,7.362,58.91,6.874,40.64,7.118,49.775,0.48800000000000043,18.269999999999996
2023-10-16,A27,100,MIXED,B162,4.873,24.44,3.676,16.58,4.2745,20.509999999999998,1.197,7.860000000000003
2023-10-16,A27,100,MIXED,B166,6.869,34.67,5.626,47.04,6.2475000000000005,40.855000000000004,1.2429999999999994,12.369999999999997
